,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
181,1.22e+18,California,Tulare,Dislike,Swing,Non-mentioned,Dislike,Blue,Red,Non-change,Non-change,Hate
182,401390427.0,Texas,Lamb,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
183,7.68e+17,Tennessee,Maury,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
184,15351784.0,Ohio,Franklin,Dislike,Non-mentioned,Non-mentioned,Dislike,Red,Blue,Non-change,Non-change,Hate
185,49096145.0,Connecticut,Hartford,Dislike,Like,Like,Like,Blue,Blue,Non-change,Non-change,Hate
186,1.01e+18,Texas,Houston,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
187,1173221906.0,California,Tulare,Dislike,Like,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
188,1.22e+18,Massachusetts,Worcester,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
189,251197123.0,Indiana,Saint Joseph,Non-mentioned,Like,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
190,8.27e+17,D.C.,Washington,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
191,9.95e+17,Texas,Coleman,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
192,54015550.0,Tennessee,Davidson,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
193,8.29e+17,Florida,Orange,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
194,9.26e+17,Kansas,Decatur,Dislike,Like,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
195,1.2e+18,California,Los Angeles,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
196,205797129.0,Utah,Sanpete,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
